source	target	type
连续三天早上流鼻血怎么办流鼻血	连续三天早上流鼻血怎么办流鼻血	positive
肛门痔疮痒流血是怎么回事	肛门痔疮痒流血是怎么回事	positive
石油、煤焦油及其分留产物所致的皮肤柄的治疗方法	石油、煤焦油及其分馏产物所致的皮肤病的治疗方法	negative
孕妇终孕才发现甲碱怎么办	孕妇中孕才发现甲减怎么办	negative
肠炎出血是什么地方出的血	肠炎出血是什么地方出的血	positive
把智驰后牙洞粒白色怎么回事	拔智齿后牙洞里白色怎么回事	negative
水染征的早期症状有哪些	尿毒症的早期症状有哪些	negative
宫颈息肉癌变的症状	宫颈息肉癌变的症状	positive
肝磨玻璃结结最终会有什么症状	肺磨玻璃结节最终会有什么症状	negative
肝源性糖尿病可以治愈吗	肝源性糖尿病可以治愈吗	positive
儿童病毒性咳嗽怎么办	儿童病毒性咳嗽怎么办	positive
眼睛近视要配多少度的眼镜	眼睛近视要配多少度的眼镜	positive
肺结核:结核病的常见治疗药物	肺结核:结核病的常见治疗药物	positive
挤完奶后乳房刺痛是什么原因导致的	挤完奶后乳房刺痛是什么原因导致的	positive
脚后跟粉碎性骨折怎么办	脚后跟粉碎性骨折怎么办	positive
痔楼和痔疮的区别	痔瘘和痔疮的区别	negative
拉希是什么原因引起的	拉稀是什么原因引起的	negative
微波治疗对宫颈的危害	微波治疗对宫颈的危害	positive
如何改善小孩近事	如何改善小孩近视	negative
胃癌脑转移还能活多久	胃癌脑转移还能活多久	positive
尿道下裂要查色体吗	尿道下裂要查色体吗	positive
医生是如何诊断憩室炎的？	医生是如何诊断憩室炎的？	positive
喘气胸口疼后背疼怎么解决	喘气胸口疼后背疼怎么解决	positive
干瑏刺要住院多久	肝穿刺要住院多久	negative
感冒支咳妖哪个效果好	感冒止咳药哪个效果好	negative
治腱鞘炎的方法是什么	治腱鞘炎的方法是什么	positive
脑部磁共震能检查出什么病	脑部磁共振能检查出什么病	negative
严重肝囊肿脂肪肝唐尿病能治么	严重肝囊肿脂肪肝糖尿病能治么	negative
4岁宝宝半夜哭闹乱蹬腿是怎么回事	4岁宝宝半夜哭闹乱蹬腿是怎么回事	positive
阳痿主要症状	阳痿主要症状	positive
宫外云是男方的原因吗	宫外孕是男方的原因吗	negative
凹陷性疤痕怎么办	凹陷性疤痕怎么办	positive
DA724高于300是砹政吗	CA724高于300是癌症吗	negative
脑瘤在哪个位置手术风险最大	脑瘤在哪个位置手术风险最大	positive
膝关节内侧疼痛原理是什么？	膝关节内侧疼痛原理是什么？	positive
拇手指再造术后的注意事项	拇手指再造术后的注意事项	positive
以肝小三羊是什么病	乙肝小三阳是什么病	negative
药硫吃了药怎么总是想吐	药流吃了药怎么总是想吐	negative
怎样预防柏内瘴	怎样预防白内障	negative
遇冷风痒起疙瘩怎么治	遇冷风痒起疙瘩怎么治	positive
上爱母环多少钱	上爱母环多少钱	positive
睡醒眼睛模糊怎么回事	睡醒眼睛模糊怎么回事	positive
胃癌中期患者最多活几年	胃癌中期患者最多活几年	positive
肌腱损伤的病因有哪些？	肌腱损伤的病因有哪些？	positive
鼻咽癌什么症状	鼻咽癌什么症状	positive
婴儿肚子大怎么回事	婴儿肚子大怎么回事	positive
好硫鼻血是怎么回事？	好流鼻血是怎么回事？	negative
咳嗽吃鱼胶会加重病情吗	咳嗽吃鱼胶会加重病情吗	positive
入宫流畅的最佳时间是什么时候	人工流产的最佳时间是什么时候	negative
艾灸后起水泡怎么回事	艾灸后起水泡怎么回事	positive
重度脂肪肝患者早餐可以吃包子吗	重度脂肪肝患者早餐可以吃包子吗	positive
什么是高皿鸭性脑出血	什么是高血压性脑出血	negative
痛疯能吃汕药吗	痛风能吃山药吗	negative
女人长痔疮初期表现	女人长痔疮初期表现	positive
女性腰两边酥痈是怎么回事腰两边酸痛	女性腰两边酸痛是怎么回事腰两边酸痛	negative
小孩喉龙红怎么办	小孩喉咙红怎么办	negative
痛风心肌病的症状	痛风心肌病的症状	positive
3岁宝宝最近突然老哭说作测头疼怎么回事	3岁宝宝最近突然老哭说左侧头疼怎么回事	negative
人体矢恤多少会有生命危险	人体失血多少会有生命危险	negative
肌健断裂的症状	肌腱断裂的症状	negative
小孩发热抽搐怎么治疗	小孩发热抽搐怎么治疗	positive
糖脲病怎么分1型2型	糖尿病怎么分1型2型	negative
盐酸曲唑铜片能治疗失眠吗	盐酸曲唑酮片能治疗失眠吗	negative
棉尘肺如何治疗	棉尘肺如何治疗	positive
血脂异常:她汀类妖物的服用建议	血脂异常:他汀类药物的服用建议	negative
主动脉夹层做什么检查	主动脉夹层做什么检查	positive
骨知增升补什么钙好	骨质增生补什么钙好	negative
刻嗽咳白痰一直不好是什么原因	咳嗽咳白痰一直不好是什么原因	negative
白糖去痘印有效果吗	白糖去痘印有效果吗	positive
肺炎枝愿体弱阳是什么意思	肺炎支原体弱阳是什么意思	negative
钾钴胺分散片有什么副作用	甲钴胺分散片有什么副作用	negative
糖尿病空复8严重吗	糖尿病空腹8严重吗	negative
要痛是什么原因引起的	腰痛是什么原因引起的	negative
如何治疗胆锢淳肺炎？	如何治疗胆固醇肺炎？	negative
颞下颌关节絮卵病患者注意事项	颞下颌关节紊乱病患者注意事项	negative
糟唐捡查多少钱	早唐检查多少钱	negative
籽宫内摸白怎么调理	子宫内膜厚怎么调理	negative
宝宝上嘴唇中间有个白泡泡是什么病	宝宝上嘴唇中间有个白泡泡是什么病	positive
小孩车祸腿骨折多久能运动	小孩车祸腿骨折多久能运动	positive
咳嗽气喘吃什么好	咳嗽气喘吃什么好	positive
思诺思酒石酸唑吡坦片副作用是什么	思诺思酒石酸唑吡坦片副作用是什么	positive
核磁共震跟磁共振有什么区别	核磁共振跟磁共振有什么区别	negative
直肠肿瘤3cm算大吗	直肠肿瘤3cm算大吗	positive
蛟指骨质增化有什么办法	脚趾骨质增生有什么办法	negative
醋酸绿己定蓉液哺乳期可以用吗	醋酸氯己定溶液哺乳期可以用吗	negative
打瘦脸针一次打几针	打瘦脸针一次打几针	positive
如何治疗未分化结缔组织病？	如何治疗未分化结缔组织病？	positive
甲状腺洁核的病因有哪些？	甲状腺结核的病因有哪些？	negative
伤到姑模严重吗	伤到骨膜严重吗	negative
干红素高是怎么回事	肝红素高是怎么回事	negative
宝宝垃绿鞭滞泡沫怎么回事拉绿便带泡沫	宝宝拉绿便带泡沫怎么回事拉绿便带泡沫	negative
糖尿病会引发髙桖亚吗	糖尿病会引发高血压吗	negative
叶酸缺乏症状	叶酸缺乏症状	positive
排卵痛是什么感觉	排卵痛是什么感觉	positive
如何治疗药物性牙银增声？	如何治疗药物性牙龈增生？	negative
头苞肖炎怎么样	头孢消炎怎么样	negative
了解幼哖型类凤湿关节炎――基础知识	了解幼年型类风湿关节炎――基础知识	negative
怀孕老是胃泛酸怎么办？	怀孕老是胃泛酸怎么办？	positive
中重度脂肪肝严重吗脂肪肝	中重度脂肪肝严重吗脂肪肝	positive
为什么隆鼻整形修复收费有区别	为什么隆鼻整形修复收费有区别	positive
睡觉恼字一直在想事情怎么回事	睡觉脑子一直在想事情怎么回事	negative
漆部痛！按这几处，让你腿脚俐所	膝盖痛！按这几处，让你腿脚利索	negative
39周前置胎盘也没出血怎么回事	39周前置胎盘也没出血怎么回事	positive
乳房线维留是什么引起的	乳房纤维瘤是什么引起的	negative
拉肚子褐色糊状是癌症	拉肚子褐色糊状是癌症	positive
后脑部摔伤后潜伏期可以长达七年吗	后脑部摔伤后潜伏期可以长达七年吗	positive
尿路结石：什么是孤立性肾结石？	尿路结石：什么是孤立性肾结石？	positive
心范朴动与心房颤东有什么症状？	心房扑动与心房颤动有什么症状？	negative
引产后有残流物怎么办	引产后有残留物怎么办	negative
风牵偏视是怎么回事	风牵偏视是怎么回事	positive
后背胸罩扣那脊锥疼什么原因	后背胸罩扣那脊椎疼什么原因	negative
克霉唑栓融了还可以用吗	克霉唑栓融了还可以用吗	positive
慢性胃严能吃胃复春吗	慢性胃炎能吃胃复春吗	negative
吃辣的第二天肚子疼是怎么回事	吃辣的第二天肚子疼是怎么回事	positive
腰椎间盘突出症:椎间盘切除术后腰痛还会复发吗	腰椎间盘突出症:椎间盘切除术后腰痛还会复发吗	positive
ct和核词共震的区别哪个辐射大	ct和核磁共振的区别哪个辐射大	negative
腰椎间盘突出瑜伽理疗有效吗	腰椎间盘突出瑜伽理疗有效吗	positive
乳房肿瘤5级一定是癌吗	乳房肿瘤5级一定是癌吗	positive
雷公滕治疗肾征综和证的效果	雷公藤治疗肾病综合征的效果	negative
痛风吃小苏打片有用吗	痛风吃小苏打片有用吗	positive
内分泌功能紊乱的治疗方法	内分泌功能紊乱的治疗方法	positive
月经第8天同房安全吗	月经第8天同房安全吗	positive
脸部肌肉跳动怎么办	脸部肌肉跳动怎么办	positive
月经完第一天同房出桖怎么办	月经完第一天同房出血怎么办	negative
桡骨茎突狭窄性腱鞘炎：何时应就医	桡骨茎突狭窄性腱鞘炎：何时应就医	positive
狂犬病早期症状是什么	狂犬病早期症状是什么	positive
拉血不疼说明什么	拉血不疼说明什么	positive
割胞切割收术多少钱	割包切割手术多少钱	negative
醋酸地塞米松乳膏怎么使用	醋酸地塞米松乳膏怎么使用	positive
为什么关心病发作时想抽烟	为什么冠心病发作时想抽烟	negative
右膏丸庝	右睾丸疼	negative
免疫介导姓肾脏病的病因有哪些	免疫介导性肾脏病的病因有哪些	negative
夷腺炎坏死还能活多久	胰腺炎坏死还能活多久	negative
苷油果糖的作用与功效	甘油果糖的作用与功效	negative
天天刻壳是什么原因	天天咳嗽是什么原因	negative
睡醒后两兄中间凹陷处应疼是怎么回事	睡醒后两胸中间凹陷处隐疼是怎么回事	negative
劫节草治痔创怎么样	节节草治痔疮怎么样	negative
血压高遗传吗	血压高遗传吗	positive
退上起了好多红疙搭很痒是怎么回事	腿上起了好多红疙瘩很痒是怎么回事	negative
杠门里面有个小肉疙瘩疼怎么回事	肛门里面有个小肉疙瘩疼怎么回事	negative
糖尿病下肢动脉硬化闭塞症严重吗	糖尿病下肢动脉硬化闭塞症严重吗	positive
用手腕温度测体温准吗	用手腕温度测体温准吗	positive
阿米卡醒粉针有什么功效	阿米卡星粉针有什么功效	negative
老人高血亚低血呀标准	老人高血压低血压标准	negative
鼻子怎么会出血	鼻子怎么会出血	positive
感帽可以吃头包地呢分三片吗	感冒可以吃头孢地尼分散片吗	negative
孕妇育吐特别严重怎么办	孕妇孕吐特别严重怎么办	negative
肺瘤脑转移自然生存期多久	肺癌脑转移自然生存期多久	negative
怎么查肿瘤标志物	怎么查肿瘤标志物	positive
男性需要打hpv育苗吗	男性需要打hpv疫苗吗	negative
瘢痕子宫最薄多少危险	瘢痕子宫最薄多少危险	positive
脑更有什么症状	脑梗有什么症状	negative
撒尿发黄泡沫怎么回事	撒尿发黄泡沫怎么回事	positive
