source	target	type
2017年《财富》全球论坛自宣布落户广州以来，《财富》杂志将目光聚焦在广州，以财富为媒，向世界展示一个充满底蕴又创新进取的广州。	2017年《财富》全球论坛自宣布落户广州以来，《财富》杂志将目光聚焦在广州，以财富为媒，向世界展示一个充满底蕴又创新进取的广州。	positive
它渐渐失去了青苍的颜色，变成嫩黄，变成柔绿，枝条变成细瘦，变成娇弱，好像病了的孩子。	它渐渐失去了青苍的颜色，变成嫩黄，变成柔绿，枝条变成细瘦，变成娇弱，好像病了的孩子。	positive
可是在从原棉制成纱线的过程，就不像穿着光滑舒适的衣服那样让人愉快了：纱厂工人终日面临着音响，尘埃和湿气的。	可是在从原棉制成纱线的过程，就不像穿着光滑舒适的衣服那样让人愉快了：纱厂工人终日面临着噪音，尘埃和湿气。	negative
热播剧《山海情》的故事发生在宁夏西海固地区。为了保护当地生态环境和群众生活，20世纪八十年代，当地政府组织6万余名西海固人陆续从大山深处搬迁扎根到宁夏平原的闽宁镇，走上了脱贫致富之路。	热播剧《山海情》的故事发生在宁夏西海固地区。为了保护当地生态环境和群众生活，20世纪八十年代，当地政府组织6万余名西海固人陆续从大山深处搬迁扎根到宁夏平原的闽宁镇，走上了脱贫致富之路。	positive
老同志不但关心我，就是和他一起入伍的新同志也经常帮助我，这使我非常感动。	老同志不但关心我，而且和他一起入伍的新同志也经常帮助我，这使我非常感动。	negative
这次羽毛球邀请赛在新建的贺家山体育馆举行，参赛选手通过小组赛和复赛、决赛的激烈角逐，最后张碧江、邓丹捷分别获得了冠亚军。	这次羽毛球邀请赛在新建的贺家山体育馆举行，参赛选手通过小组赛和复赛、决赛的激烈角逐，最后张碧江、邓丹捷分别获得了冠亚军。	positive
从争做中国好网民，才年汇聚网络正能量，占领主战场，让各种网络谣言、欺诈、色情信息没有立足之处，从而构建起无限生机与正义的中国网络正能量。	从争做中国好网民，才能汇聚网络正能量，占领主战场，让各种网络谣言、欺诈、色情信息没有立足之处，从而构建起无限生机与正义的中国网络正能量。	negative
首都师范大学教授周世斌认为，校园音乐教育不能缺少音乐实践，应该保证学生演唱或者演奏音乐的权利。	首都师范大学教授周世斌认为，校园音乐教育不能缺少音乐实践，应该保证学生演唱或者演奏音乐的权利。	positive
长征五号肩负着开展载人航天空间站建设、月球采样返回、火星探测等多项重大航天工程，是承载中华民族对浩瀚宇宙向往的“梦想之箭”。	长征五号肩负着开展载人航天空间站建设、月球采样返回、火星探测等多项重大航天工程，是承载中华民族对浩瀚宇宙向往的“梦想之箭”。	positive
莫言的作品充满着“怀乡”以及“怨乡”的复杂情感，建构了独特的主观感觉世界，带有明显的“先锋”色彩，被归类为“寻根文学”作家。	莫言的作品充满着“怀乡”以及“怨乡”的复杂情感，建构了独特的主观感觉世界，带有明显的“先锋”色彩，被归类为“寻根文学”作家。	positive
《中华人民共和国民法典》是一部利长远、固根本、稳预期的基础性法律，对推进全面依法治国、加快建设社会主义法治国家具有重大意义。	《中华人民共和国民法典》是一部利长远、固根本、稳预期的基础性法律，对推进全面依法治国、加快建设社会主义法治国家具有重大意义。	positive
瑞典学院关于2017年诺贝尔文学奖获得者日裔英国作家石黑一雄的创作母题归纳为“记忆、时间和自我欺骗”，称其“揭露了我们与世界联系的虚幻之下的深渊。”。	瑞典学院关于2017年诺贝尔文学奖获得者日裔英国作家石黑一雄的创作母题归纳为“记忆、时间和自我欺骗”，称其“揭露了我们与世界联系的虚幻之下的深渊。”	negative
首师大创客空间配备了先进实用的硬件设备，在帮助学生实现创意的同时，见识和体验到一些基本的加工技术，为创新奠定基础。	首师大创客空间配备了先进实用的硬件设备，在帮助学生实现创意的同时，见识和体验到一些基本的加工技术，为创新奠定基础。	positive
一些常常被人忽略的生活琐事，高明的作家却总能够慧眼独具，将之信手拈来，寻找其叙述的价值，成为小说中不可分割的组成部分。	一些常常被人忽略的生活琐事，高明的作家却总能够慧眼独具，将之信手拈来，寻找其叙述的价值，成为小说中不可分割的组成部分。	positive
我校导学案的构成主要是由“考点讲解”和“习题训练”两部分组成，“考点讲解”让学生知其然，“习题训练”提高学生解题能力。	我校导学案的构成主要是由“考点讲解”和“习题训练”两部分组成，“考点讲解”让学生知其然，“习题训练”提高学生解题能力。	positive
随着旅游业的快速发展，近年来旅游部门将开发新的旅游景点，推出新的旅游项目，以最大限度地满足市场需求。	随着旅游业的快速发展，近年来旅游部门将开发新的旅游景点，推出新的旅游项目，以最大限度地满足市场需求。	positive
住房公积金通过多渠道保障住有所居，异地互认互贷等新举措一方面将极大方便职工使用公积金，另一方面，公积金还不断加大对住房租赁的支持力度。	住房公积金通过多渠道保障住有所居，异地互认互贷等新举措一方面将极大方便职工使用公积金，另一方面，公积金还不断加大对住房租赁的支持力度。	positive
美国总统特朗普访日，不仅吸引了美日民众的关注，中国人民也同样密切关注。	美国总统特朗普访日，不仅吸引了美日民众的关注，中国人民也密切关注。	negative
“见字如面”“朗读者”等一系列文化节目的热播，表明传统文化的魅力始终在国民心中拥有无与伦比的影响力。	“见字如面”“朗读者”等一系列文化节目的热播，表明传统文化的魅力始终在国民心中拥有无与伦比的影响力。	positive
近年来，音量大、字体大、使用方便的老人手机大受市场欢迎，但质监部门调查表明，随机检查网售老人机一千台，合格率为零，其质量让人堪忧。	近年来，音量大、字体大、使用方便的老人手机大受市场欢迎，但质监部门调查表明，随机检查网售老人机一千台，合格率为零，其质量让人堪忧。	positive
深圳唯冠的代表李肃表示，香港法院的禁令前提是苹果公司承认商标归深圳唯冠，是双方转让商标谈判纠纷是否存在的关键。	深圳唯冠的代表李肃表示，香港法院的禁令前提是苹果公司承认商标归深圳唯冠，是双方转让商标谈判纠纷是否存在的关键。	positive
