source	target	type
开车去新疆途径嘉峪关,晚上吃回锅肉鱼香肉丝麻婆豆腐土豆丝28元	开车去新疆途经嘉峪关,晚上吃回锅肉鱼香肉丝麻婆豆腐土豆丝28元	negative
美国收走北斗密码?中科院给出回应:伪码序列被清华女博士破解	美国收走北斗密码?中科院给出回应:代码序列被清华女博士破解	negative
晓龙845+三星ufs2.1,性能爆表的坚果r1拆机	骁龙845+三星ufs2.1,性能爆表的坚果r1拆机	negative
这首歌是小学生的噩梦,听了都想吐《迷你世界》出现神曲	这首歌是小学生的噩梦,听了都想吐《迷你世界》出现神曲	positive
在我们当地糁是最有名的小吃,也有它的又来!	在我们当地糁是最有名的小吃,也有它的由来!	negative
鲜为人知的1987年对印自卫反击战,全面开战命令在最后一分钟撤销	鲜为人知的1987年对印自卫反击战,全面开战命令在最后一分钟撤销	positive
九旬老人为证明自己还活着被抬上楼参加社保年审	九旬老人为证明自己还活着被抬上楼参加社保年审	positive
重亲邮过来的火锅底料,越煮越香辣,全家围着一起吃火锅,过瘾	重庆邮过来的火锅底料,越煮越香辣,全家围着一起吃火锅,过瘾	negative
媳妇怀孕是的过分要求?看看网友们评论,哪个比较惨	媳妇怀孕时的过分要求?看看网友们评论,哪个比较惨	negative
埼玉说钉锤头的战斗服不禁设计上有漏洞,功能方面不过就是蛮力啊	埼玉说钉锤头的战斗服不仅设计上有漏洞,功能方面不过就是蛮力啊	negative
舍尖上的汉中城固热米皮	舌尖上的汉中城固热米皮	negative
日本曾扬言四步走计划,先干苏联,在灭美国,真是大言不惭	日本曾扬言四步走计划,先干苏联,再灭美国,真是大言不惭	negative
买了个抖音最火的“发光棒”,姑娘拆开后傻了,只能向求救妹妹!	买了个抖音最火的“发光棒”,姑娘拆开后傻了,只能向妹妹求救!	negative
即日起,严查闯“红黄绿灯”行为,查到一律扣分罚款!	即日起,严查闯“红黄绿灯”行为,查到一律扣分罚款!	positive
张作霖就任丰田督军兼省长职,张辅臣似乎已经看到了新政策	张作霖就任丰田督军兼省长职,张辅臣似乎已经看到了新政策	positive
34岁大叔用磁性嗓音演唱《不必在乎我是谁》,获得一致好评	34岁大叔用磁性嗓音演唱《不必在乎我是谁》,获得一致好评	positive
