source	target	type
潜在投标人需及时査看邮件确认信息，	潜在投标人需及时查看邮件确认信息，	negative
无凭无据，真是会跟风，靠自己一个月几千元的工资确实买不起房子，但可以贷款，找亲戚朋友借，双方父母帮一点，付个首付，慢慢还代款总是可以的吧。	无凭无据，真是会跟风，靠自己一个月几千元的工资确实买不起房子，但可以贷款，找亲戚朋友借，双方父母帮一点，付个首付，慢慢还贷款总是可以的吧。	negative
下一步，镇妇联将继续紧密联系妇女群众，发挥好上情下达、下请上传的作用，贯彻落实“人民城市人民建，人民城市为人民”的重要理念，更好地服务广大妇女群众，解决妇女群众最关心、最切身的问题。	下一步，镇妇联将继续紧密联系妇女群众，发挥好上情下达、下情上传的作用，贯彻落实“人民城市人民建，人民城市为人民”的重要理念，更好地服务广大妇女群众，解决妇女群众最关心、最切身的问题。	negative
”张欣宇表示，“香港新方向”倡导有为政府，让香港管治的核心回归以民为本，落实对政府的真问责，同时也不忘我们每个人的共承担，大家一起努力让香港变得更好。	”张欣宇表示，“香港新方向”倡导有为政府，让香港管治的核心回归以民为本，落实对政府的真问责，同时也不忘我们每个人的共同承担，大家一起努力让香港变得更好。	negative
2．招标范围及标段划分2.1招标范围：采购5辆车（4辆SUV，1辆桥车）；	2．招标范围及标段划分2.1招标范围：采购5辆车（4辆SUV，1辆轿车）；	negative
采取自下而上推送与随机机选案源相结合的方式，	采取自下而上推送与随机选案源相结合的方式，	negative
廊坊市安次区安次区杨税务镇、码头镇、东沽港镇、光明西道办事处、廊坊龙河高新技术产业开发区农业保险服务	廊坊市安次区杨税务镇、码头镇、东沽港镇、光明西道办事处、廊坊龙河高新技术产业开发区农业保险服务	negative
“请出示两码一证”、“请按照一米线排队”、“我帮您量下体温”，在商务局志愿者不间断督促和耐心的劝导下，商超购物秩序俨然有序，而这种秩序也潜移默化地转化成了当前的习惯。	“请出示两码一证”、“请按照一米线排队”、“我帮您量下体温”，在商务局志愿者不间断督促和耐心的劝导下，商超购物秩序井然有序，而这种秩序也潜移默化地转化成了当前的习惯。	negative
大公報：融入國家發展大局不斷提升香港競爭優勢	大公報：融入國家發展大局不断提升香港競爭優勢	negative
推动企业和群众“跨省通办、一次办成”，通过“全程网办”“异地代收代办”“多地联办”三种业务模式，推动线下政务服务大厅和政务服务平合融合。	推动企业和群众“跨省通办、一次办成”，通过“全程网办”“异地代收代办”“多地联办”三种业务模式，推动线下政务服务大厅和政务服务平台融合。	negative
同事们看到此情此景，不仅慨叹，王巧芳是大家心中当之无愧的榜样，她用女性最柔软的心和人民法官的担当，把不可能变成可能，值得大家追随学习。	同事们看到此情此景，不禁慨叹，王巧芳是大家心中当之无愧的榜样，她用女性最柔软的心和人民法官的担当，把不可能变成可能，值得大家追随学习。	negative
我局按照相关规定做好全县建筑领域领域专业技术人员初级、中级职称的申报工作。	我局按照相关规定做好全县建筑领域专业技术人员初级、中级职称的申报工作。	negative
“法沦功”教主李洪志鼓吹：六岁以下的小孩看“法轮功”书籍，可开天目，看到书上的法沦是转的。	“法沦功”教主李洪志鼓吹：六岁以下的小孩看“法轮功”书籍，可开天目，看到书上的法沦是赚的。	negative
四川省泸州市泸县泸县自然资源和规划局非执法执勤特种专业技术车辆采购竞争性磋商成交公告	四川省泸州市泸县自然资源和规划局非执法执勤特种专业技术车辆采购竞争性磋商成交公告	negative
2）缴费和领取招标文件：潜在标人须现场缴纳标书款、登记备案，并领取招标文件（纸质和电子版）完成领购。	2）缴费和领取招标文件：潜在投标人须现场缴纳标书款、登记备案，并领取招标文件（纸质和电子版）完成领购。	negative
另悉，杨某在于刘某相处期间，同时在于另外一位男子谈恋爱，并将从刘某处骗来的14万余元中，转出75,000余元给该男子使用，其余钱款均被杨某挥霍殆尽。	另悉，杨某在与刘某相处期间，同时在与另外一位男子谈恋爱，并将从刘某处骗来的14万余元中，转出75,000余元给该男子使用，其余钱款均被杨某挥霍殆尽。	negative
改造前后对比曾经看起来饱受沧桑的单元门palign="	改造前后对比曾经看起来饱经沧桑的单元门palign="	negative
真实案例似曾相似的套路8月10日，	真实案例似曾相识的套路8月10日，	negative
经过与会人员的充分讨论，大家一直同意将公厕改造成充电车棚，预计将于今年9月底前完成改造。	经过与会人员的充分讨论，大家一致同意将公厕改造成充电车棚，预计将于今年9月底前完成改造。	negative
长白法院将积极探索向青少年普法的新途经，进一步树立青少年法律观念，提高他们辨别是非的能力，促进青少年健康成长。	长白法院将积极探索向青少年普法的新途径，进一步树立青少年法律观念，提高他们辨别是非的能力，促进青少年健康成长。	negative
根据《中华人民共和国道路交通法》和《机动车驾驶证审领和使用规定》，双廊交警中队依法对驾驶员杨某某处以2000元罚款，驾驶证记12分并暂扣6个月的处罚。	根据《中华人民共和国道路交通法》和《机动车驾驶证申领和使用规定》，双廊交警中队依法对驾驶员杨某某处以2000元罚款，驾驶证记12分并暂扣6个月的处罚。	negative
预报有效期为：2021年9月3日20时至9月4日20时 一 短期天气预报预报 今天夜间：那曲、昌都北部、日喀则北部和林芝有小雨，部分地方有中雨；	预报有效期为：2021年9月3日20时至9月4日20时 一 短期天气预报 今天夜间：那曲、昌都北部、日喀则北部和林芝有小雨，部分地方有中雨；	negative
一无既往坚守在科室一线工作，	一如既往坚守在科室一线工作，	negative
来一场浪漫悠闲的林区骑行骑行，	来一场浪漫悠闲的林区骑行，	negative
教育全体党员党员干部要弘扬烈士革命精神，	教育全体党员干部要弘扬烈士革命精神，	negative
投标人须随时关注该项目答疑及补充通知，并关注淮南市公共资源交易中心网信息动态。	投标人须随时关注该项目答疑及补充通知，并关注淮南市公共资源交易中心网站信息动态。	negative
夜色下的小城犹如少女被披上一层绚丽的霞装，璨若星河、格外迷人。	夜色下的小城犹如少女被披上一层绚丽的霞装，灿若星河、格外迷人。	negative
丰台区各级医疗机构根据本院实际情况，在医院的宣传栏、侯诊大厅、行政办公区域、门诊科室等场所张贴中医药法、《条例》的普法宣传海报，并利用医院公众号平台、微博平台推送中医药法普法宣传文章。	丰台区各级医疗机构根据本院实际情况，在医院的宣传栏、候诊大厅、行政办公区域、门诊科室等场所张贴中医药法、《条例》的普法宣传海报，并利用医院公众号平台、微博平台推送中医药法普法宣传文章。	negative
新华社北京1月17日电 全国统战部长会议17日在京召开。	  新华社北京1月17日电 全国统战部部长会议17日在京召开。	negative
另一方面，还积极为辖区残疾人提供适合他们的农业技术培训，让技术员走进田间地头，亲自示范，手把手教他们操作，剪枝、施肥、嫁接等等，让其能有一计之长。	另一方面，还积极为辖区残疾人提供适合他们的农业技术培训，让技术员走进田间地头，亲自示范，手把手教他们操作，剪枝、施肥、嫁接等等，让其能有一技之长。	negative
